Algorithm,Data size,Time taken(ms),Stdev(ms),Samples,datapattern
InsertionSort,10000,130.605,16.0083,5,random
InsertionSort,10000,0.171242,0.2424,5,ascending
InsertionSort,10000,203.08,23.0917,5,descending
InsertionSort,10000,0.0478082,0.00128938,5,constant
InsertionSort,20000,357.755,2.32388,5,random
InsertionSort,20000,0.0967916,0.00258859,5,ascending
InsertionSort,20000,717.957,6.19403,5,descending
InsertionSort,20000,0.093725,6.26738e-05,5,constant
InsertionSort,30000,796.863,3.84439,5,random
InsertionSort,30000,0.140792,6.99217e-05,5,ascending
InsertionSort,30000,1597.44,2.4049,5,descending
InsertionSort,30000,0.143592,0.00413327,5,constant
InsertionSort,40000,1419.2,0.724808,5,random
InsertionSort,40000,0.191267,0.00582752,5,ascending
InsertionSort,40000,2844.05,2.08957,5,descending
InsertionSort,40000,0.194041,0.0034953,5,constant
InsertionSort,50000,2214.9,7.95446,5,random
InsertionSort,50000,0.236208,0.00126084,5,ascending
InsertionSort,50000,4454.32,9.39891,5,descending
InsertionSort,50000,0.245608,0.016133,5,constant
InsertionSort,60000,3199.33,1.80615,5,random
InsertionSort,60000,0.28325,0.00129211,5,ascending
InsertionSort,60000,6438.44,5.61967,5,descending
InsertionSort,60000,0.284425,0.00344753,5,constant
InsertionSort,70000,4369.65,3.98511,5,random
InsertionSort,70000,0.32955,0.000340183,5,ascending
InsertionSort,70000,8770.51,4.94107,5,descending
InsertionSort,70000,0.335533,0.0119748,5,constant
InsertionSort,80000,5698.53,33.1711,5,random
InsertionSort,80000,0.376808,0.000712179,5,ascending
InsertionSort,80000,11443.1,19.122,5,descending
InsertionSort,80000,0.384209,0.00767925,5,constant
InsertionSort,90000,7214.73,3.19269,5,random
InsertionSort,90000,0.430442,0.010677,5,ascending
InsertionSort,90000,14495.3,23.7743,5,descending
InsertionSort,90000,0.4247,0.0023817,5,constant
InsertionSort,100000,8915.85,10.3068,5,random
InsertionSort,100000,0.472075,0.00108971,5,ascending
InsertionSort,100000,17916.6,27.3909,5,descending
InsertionSort,100000,0.471333,0.00113183,5,constant
SelectionSort,10000,160.373,0.581493,5,random
SelectionSort,10000,159.874,1.98476,5,ascending
SelectionSort,10000,167.93,2.81143,5,descending
SelectionSort,10000,158.654,0.452738,5,constant
SelectionSort,20000,637.548,1.15061,5,random
SelectionSort,20000,634.429,0.987884,5,ascending
SelectionSort,20000,665.573,0.706841,5,descending
SelectionSort,20000,635.834,1.13318,5,constant
SelectionSort,30000,1432.2,2.1899,5,random
SelectionSort,30000,1429.24,2.55686,5,ascending
SelectionSort,30000,1498.66,2.47376,5,descending
SelectionSort,30000,1430.61,0.944454,5,constant
SelectionSort,40000,2542.74,4.56258,5,random
SelectionSort,40000,2543.07,3.8871,5,ascending
SelectionSort,40000,2661.37,2.22938,5,descending
SelectionSort,40000,2545.29,1.54343,5,constant
SelectionSort,50000,3976.48,5.62852,5,random
SelectionSort,50000,3974.06,5.17125,5,ascending
SelectionSort,50000,4158.67,10.1965,5,descending
SelectionSort,50000,3957.61,7.21438,5,constant
SelectionSort,60000,5706.91,10.4189,5,random
SelectionSort,60000,5699.28,12.3121,5,ascending
SelectionSort,60000,5960.11,6.70515,5,descending
SelectionSort,60000,5760.1,67.2912,5,constant
SelectionSort,70000,7980.71,2.5114,5,random
SelectionSort,70000,7834.15,50.9507,5,ascending
SelectionSort,70000,8144.92,7.2027,5,descending
SelectionSort,70000,7781.41,12.3521,5,constant
SelectionSort,80000,10169.2,8.78338,5,random
SelectionSort,80000,10136.5,10.4559,5,ascending
SelectionSort,80000,10598.4,3.92229,5,descending
SelectionSort,80000,10166.6,40.7088,5,constant
SelectionSort,90000,12862.8,11.1695,5,random
SelectionSort,90000,12835.9,10.6782,5,ascending
SelectionSort,90000,13438.2,11.6836,5,descending
SelectionSort,90000,12834.1,15.7996,5,constant
SelectionSort,100000,15864.2,8.32808,5,random
SelectionSort,100000,15835.6,5.51372,5,ascending
SelectionSort,100000,16639,77.225,5,descending
SelectionSort,100000,15842.3,8.42517,5,constant
QuickSortRightPivot,10000,1.16171,0.00334686,5,random
QuickSortRightPivot,10000,246.301,1.16865,5,ascending
QuickSortRightPivot,10000,175.693,0.317389,5,descending
QuickSortRightPivot,10000,107.629,0.624818,5,constant
QuickSortRightPivot,20000,2.4907,0.0108817,5,random
QuickSortRightPivot,20000,982.871,3.97665,5,ascending
QuickSortRightPivot,20000,700.164,0.65718,5,descending
QuickSortRightPivot,20000,428.657,1.01453,5,constant
QuickSortRightPivot,30000,3.81159,0.00323127,5,random
QuickSortRightPivot,30000,2189.93,1.48999,5,ascending
QuickSortRightPivot,30000,1578.8,4.91913,5,descending
QuickSortRightPivot,30000,962.789,1.34272,5,constant
QuickSortRightPivot,40000,5.25247,0.0307536,5,random
QuickSortRightPivot,40000,3897.39,2.85413,5,ascending
QuickSortRightPivot,40000,2804.45,2.02607,5,descending
QuickSortRightPivot,40000,1711.94,1.41519,5,constant
QuickSortRightPivot,50000,6.74943,0.00674391,5,random
QuickSortRightPivot,50000,6096.67,2.05364,5,ascending
QuickSortRightPivot,50000,4387.13,2.11035,5,descending
QuickSortRightPivot,50000,2690.55,15.2336,5,constant
QuickSortRightPivot,60000,8.44812,0.0410871,5,random
QuickSortRightPivot,60000,8821.72,29.0206,5,ascending
QuickSortRightPivot,60000,6332.87,2.40859,5,descending
QuickSortRightPivot,60000,3862.52,1.82723,5,constant
QuickSortRightPivot,70000,9.91934,0.0343714,5,random
QuickSortRightPivot,70000,12008.6,29.4887,5,ascending
QuickSortRightPivot,70000,8648.26,16.7537,5,descending
QuickSortRightPivot,70000,5272.1,4.91852,5,constant
QuickSortRightPivot,80000,11.341,0.105068,5,random
QuickSortRightPivot,80000,15712.7,6.40064,5,ascending
QuickSortRightPivot,80000,11296.4,18.0926,5,descending
QuickSortRightPivot,80000,6886.03,11.5735,5,constant
QuickSortRightPivot,90000,12.6653,0.0326671,5,random
QuickSortRightPivot,90000,19883.8,16.3299,5,ascending
QuickSortRightPivot,90000,14287.4,18.5188,5,descending
QuickSortRightPivot,90000,8731,11.6907,5,constant
QuickSortRightPivot,100000,14.4538,0.126069,5,random
QuickSortRightPivot,100000,24646.9,36.726,5,ascending
QuickSortRightPivot,100000,17646.9,28.6909,5,descending
QuickSortRightPivot,100000,10738.5,1.42192,5,constant
QuickSortMedianOfThree,10000,1.10903,0.0195251,5,random
QuickSortMedianOfThree,10000,0.489425,0.0078637,5,ascending
QuickSortMedianOfThree,10000,0.83145,0.0373862,5,descending
QuickSortMedianOfThree,10000,93.4392,0.231264,5,constant
QuickSortMedianOfThree,20000,2.42428,0.0341475,5,random
QuickSortMedianOfThree,20000,1.05678,0.0312584,5,ascending
QuickSortMedianOfThree,20000,1.77468,0.0153181,5,descending
QuickSortMedianOfThree,20000,373.462,0.337778,5,constant
QuickSortMedianOfThree,30000,3.72154,0.0428281,5,random
QuickSortMedianOfThree,30000,1.64172,0.0130462,5,ascending
QuickSortMedianOfThree,30000,2.81884,0.0257522,5,descending
QuickSortMedianOfThree,30000,841.318,0.946927,5,constant
QuickSortMedianOfThree,40000,4.94931,0.0223849,5,random
QuickSortMedianOfThree,40000,2.20459,0.0080442,5,ascending
QuickSortMedianOfThree,40000,3.85525,0.0259933,5,descending
QuickSortMedianOfThree,40000,1494.35,1.13332,5,constant
QuickSortMedianOfThree,50000,6.36507,0.0246721,5,random
QuickSortMedianOfThree,50000,2.86774,0.0160591,5,ascending
QuickSortMedianOfThree,50000,4.95533,0.026995,5,descending
QuickSortMedianOfThree,50000,2335.87,2.34102,5,constant
QuickSortMedianOfThree,60000,7.80728,0.0364099,5,random
QuickSortMedianOfThree,60000,3.49032,0.0332224,5,ascending
QuickSortMedianOfThree,60000,6.04786,0.0214277,5,descending
QuickSortMedianOfThree,60000,3363.75,0.734949,5,constant
QuickSortMedianOfThree,70000,9.19525,0.00502823,5,random
QuickSortMedianOfThree,70000,4.06739,0.00791754,5,ascending
QuickSortMedianOfThree,70000,7.16581,0.0144004,5,descending
QuickSortMedianOfThree,70000,4581.4,5.9945,5,constant
QuickSortMedianOfThree,80000,10.9045,0.0637869,5,random
QuickSortMedianOfThree,80000,4.69078,0.0244792,5,ascending
QuickSortMedianOfThree,80000,8.39738,0.0696406,5,descending
QuickSortMedianOfThree,80000,5979.6,2.11142,5,constant
QuickSortMedianOfThree,90000,12.2119,0.0626009,5,random
QuickSortMedianOfThree,90000,5.33324,0.0157751,5,ascending
QuickSortMedianOfThree,90000,9.47764,0.0226886,5,descending
QuickSortMedianOfThree,90000,7572.33,6.62547,5,constant
QuickSortMedianOfThree,100000,13.4499,0.110164,5,random
QuickSortMedianOfThree,100000,6.14121,0.0185404,5,ascending
QuickSortMedianOfThree,100000,10.7061,0.119019,5,descending
QuickSortMedianOfThree,100000,9343.76,1.13412,5,constant
std::sort,10000,0.338175,0.0135993,5,random
std::sort,10000,0.0096,0.000285949,5,ascending
std::sort,10000,0.0172582,0.000733979,5,descending
std::sort,10000,0.0064916,0.000270646,5,constant
std::sort,20000,0.725833,0.0129476,5,random
std::sort,20000,0.0188,6.67503e-05,5,ascending
std::sort,20000,0.034333,0.000838845,5,descending
std::sort,20000,0.0129248,0.000335672,5,constant
std::sort,30000,1.13602,0.00976049,5,random
std::sort,30000,0.0282752,0.000161645,5,ascending
std::sort,30000,0.0499082,0.000290628,5,descending
std::sort,30000,0.0189334,4.25986e-05,5,constant
std::sort,40000,1.59621,0.020497,5,random
std::sort,40000,0.0380084,0.000934415,5,ascending
std::sort,40000,0.0672084,0.00112587,5,descending
std::sort,40000,0.0251252,5.91148e-05,5,constant
std::sort,50000,1.99519,0.0178988,5,random
std::sort,50000,0.0466998,9.28384e-05,5,ascending
std::sort,50000,0.0858998,0.00537307,5,descending
std::sort,50000,0.0312164,4.898e-05,5,constant
std::sort,60000,2.43071,0.0142786,5,random
std::sort,60000,0.055975,8.57648e-05,5,ascending
std::sort,60000,0.0993664,0.00102602,5,descending
std::sort,60000,0.0376836,0.000416189,5,constant
std::sort,70000,2.95023,0.0258652,5,random
std::sort,70000,0.0652836,7.62249e-05,5,ascending
std::sort,70000,0.1162,0.00177871,5,descending
std::sort,70000,0.04365,9.36312e-05,5,constant
std::sort,80000,3.43388,0.0147111,5,random
std::sort,80000,0.075,0.000472141,5,ascending
std::sort,80000,0.131342,0.000173391,5,descending
std::sort,80000,0.0523086,0.00492986,5,constant
std::sort,90000,3.84077,0.0345702,5,random
std::sort,90000,0.0861834,0.004451,5,ascending
std::sort,90000,0.148033,0.000345078,5,descending
std::sort,90000,0.0560502,6.13462e-05,5,constant
std::sort,100000,4.32948,0.0287402,5,random
std::sort,100000,0.0932416,0.000103194,5,ascending
std::sort,100000,0.165217,0.00141463,5,descending
std::sort,100000,0.0628914,0.00114196,5,constant
